hhmem_number;male_adults_over_65;female_adults_over_65;male_adults_15_65;female_adults_15_65;male_children_5_14;female_children_5_14;male_children_0_4;female_children_0_4;dep_ratio;head_age;head_age_cat;head_gender;head_education;incsource_biggest1;incsource_biggest2;hh_income_perc_cocoa;hh_income_perc_othercrops;hh_income_perc_livestock;hh_income_perc_fish;hh_income_perc_bushproducts;hh_income_perc_farmlabour;hh_income_perc_nonaglabour;hh_income_perc_smallbusiness;hh_income_perc_comp;hh_income_perc_govt;hh_income_perc_landsalelease;hh_income_perc_remittances;hh_income_perc_other;n_crops_produced;n_crops_sold;crops_important1;crops_important2;all_land_known_yn;all_land_cultivated_ha;all_land_owned_ha;all_land_leased_ha;all_land_scrop_abunu_ha;all_land_scrop_abusa_ha;all_land_fallow_ha;all_land_numlandparcels;all_land_leasedout_yn;all_land_leasedout_landunit_ha;cocoa_land_known_yn;cocoa_land_used_ha;cocoa_land_used_morethan5_ha;cocoa_land_owned_ha;cocoa_land_leased_ha;cocoa_land_scrop_abunu_ha;cocoa_land_scrop_abusa_ha;cocoa_land_numlandparcels;cocoa_intercrop_yn;cocoa_prod_known_yn;cocoa_prod_total_kgs;cocoa_prod_total_kgsha;cocoa_valueproduction_usd;cocoa_valueproduction_usd_ha;cocoa_gfert_yn;cocoa_lfert_yn;cocoa_herb_yn;cocoa_pest_yn;cocoa_fung_yn;cocoa_ferment_yn;cocoa_marketing_income_yn;cocoa_marketing_income_usd;cocoa_marketing_income_usdha;cocoa_certification_yn;cocoa_certification_clean_yn;cocoa_prodgroup_hhmem;cocoa_credit_yn;loan_lastyear_yn;loan_amount_usd;ls_dairy_cattle;ls_cows_bulls;ls_horses_donkeys_mules;ls_goats;ls_pigs;ls_rabbits;ls_grasscutter;ls_sheep;ls_chickens;ls_other_poultry;ls_other;foodsec1;foodsec2;foodsec3;foodsec4;foodsec5;foodsec6;foodsec7;foodsec8;foodsec9;foodsec10;foodsec11;foodsec12;instanceid;hh_income_1;hh_income_2;hh_income_3;hh_income_4;hh_income_5;hh_income_6;hh_income_7;hh_income_8;hh_income_9;hh_income_10;hh_income_11;hh_income_12;hh_income_13;n_hh_incomes;dhs;dhs_combined;dhs_quintile;PPI_SCORE;PPI_100_Nat;PPI_125dollar_day;PPI_200dollar_day;PPI_250dollar_day;PPI_190dollar_day;PPI_310dollar_day;non_cocoa_land;share_cocoa_land
2;0;0;1;1;0;0;0;0;0;21;3;1;2;2;2;0;0,8;0;0;0;0,2;0;0;0;0;0;0;0;1;1;38;49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;3;3;2;2;2;2;2;uuid:bf92ef51-f6fc-47a3-bb11-ee91519ded6a;0;1;0;0;0;1;0;0;0;0;0;0;0;2;;;;37;29;3,7;16,2;31,4;7,9;35,4;;
8;1;0;2;3;0;1;1;0;0,6;82;8;1;;1;3;0,6;0,1;0,3;0;0;0;0;0;0;0;0;0;0;4;4;10;35;1;2,832804;2,832804;0;0;0;0;2;0;;1;2,0234313;1,2140588;2,0234313;0;0;0;1;1;1;223,99998;184,50507;388,47546;319,98077;0;1;1;1;1;1;0;;;2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:075f7376-47a4-456e-9276-59ce6b00e435;1;1;1;0;0;0;1;1;0;0;0;1;0;6;0,6911944;-0,12310602;2;37;29;3,7;16,2;31,4;7,9;35,4;0,80937266;0,7142857
11;0;0;3;3;3;0;1;1;0,8333333;60;7;1;2;1;2;0,65;0,25;0;0;0;0;0;0,1;0;0;0;0;0;9;4;10;35;0;;;;;;;;;;0;;;;;;;;1;0;;;;;1;0;0;1;1;1;;;;1;0;0;0;0;;1;1;1;3;1;1;1;1;3;1;2;3;3;3;3;3;3;3;3;3;3;3;3;uuid:944ff05a-415f-4161-955b-ffc741366e9f;1;1;0;0;0;0;0;1;0;0;0;0;0;3;;;;47;11,7;0,6;5,3;12,8;2,4;16,1;;
8;0;0;1;2;2;3;0;0;1,6666666;39;5;1;2;2;12;0;0,85;0;0;0;0;0;0;0;0;0;0,15;0;1;1;30;;1;1,6187451;1,6187451;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;1;1;2;1;1;1;1;2;1;1;2;2;3;2;2;3;3;2;2;2;2;2;uuid:2d86986f-5eaf-4144-97bb-7025746fbf08;0;1;0;0;0;0;0;0;0;0;0;1;0;2;-0,26121444;-0,740267;1;24;63,8;19,5;49,1;67;32,6;70,6;;
4;0;0;1;1;1;1;0;0;1;63;7;1;2;1;2;0,7;0,3;0;0;0;0;0;0;0;0;0;0;0;7;7;10;21;1;14,16402;14,16402;0;0;0;;2;0;;1;4,0468626;4,0468626;4,0468626;0;0;0;1;0;1;1407,9999;347,92383;2441,846;603,39233;1;1;0;1;1;1;1;2441,846;603,39233;1;1;0;0;1;522,32;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;uuid:079211a8-f73c-4041-9b30-218f7e8afff8;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0,9157035;0,022375852;3;56;4,3;0,3;2,2;5,1;0,9;5,8;10,117157;0,28571427
5;0;0;1;1;1;2;0;0;1,5;56;7;1;2;1;2;0,5;0,4;0;0;0;0;0;0,1;0;0;0;0;0;4;4;10;35;1;3,4398332;0;0;2,2257745;0;2,0234313;2;;;1;2,2257745;1,6187451;0;0;2,2257745;0;2;1;1;384;237,2208;665,958;411,40387;0;1;0;1;0;1;0;;;2;0;1;0;0;;1;1;1;4;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;uuid:8bc9dbfe-222c-4059-934d-2bcfc5167f45;1;1;0;0;0;0;0;1;0;0;0;0;0;3;0,10524325;-0,5028024;2;34;40,2;7,2;27,1;41,3;16,5;45,4;1,2140586;0,64705884
3;0;0;2;1;0;0;0;0;0;65;7;1;2;1;2;0,45;0,1;0,45;0;0;0;0;0;0;0;0;0;0;3;3;10;8;1;3,2374902;3,2374902;0;0;0;0;2;0;;1;3,2374902;2,0234313;3,2374902;0;0;0;2;1;1;320;158,1472;554,965;274,26926;1;1;0;1;1;1;1;554,965;274,26926;1;1;0;0;0;;1;1;1;4;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:ab69f2ab-e518-4d3c-a7e5-74d6ff75dd9d;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0,42436278;-0,2960129;2;54;7,2;0,4;2,5;6,8;1;9,5;0;1
3;1;1;0;1;0;0;0;0;2;62;7;1;2;1;2;0,9;0,05;0,04;0;0;0;0;0,01;0;0;0;0;0;2;1;10;35;1;5,6448;5,6448;0;0;0;0;2;0;;1;5,292;4,7628;5,292;0;0;0;1;0;1;2560;537,4989;4439,7197;932,16583;1;1;1;1;1;1;;;;2;0;1;0;0;;1;1;1;2;1;1;1;2;2;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:36ed0f22-a2ef-49a8-a099-195e736d2237;1;1;1;0;0;0;0;1;0;0;0;0;0;4;0,11374921;-0,49729052;2;45;11,7;0,6;5,3;12,8;2,4;16,1;0,35280037;0,93749994
4;1;0;1;2;0;0;0;0;0,33333334;79;8;1;2;1;2;0,6;0,3;0;0;0;0;0;0,05;0;0;0;0,05;0;4;2;10;29;1;8,903098;8,903098;0;0;0;0;4;0;;1;6,4749804;4,451549;6,4749804;0;0;0;2;0;1;1920;431,31055;3329,79;748,007;0;1;0;1;0;1;0;;;0;0;0;0;0;;1;1;1;1;1;1;1;1;2;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:e1b7c692-562f-4f87-8dfa-9aabf6ef4d70;1;1;0;0;0;0;0;1;0;0;0;1;0;4;0,58845854;-0,18967886;2;51;7,2;0,4;2,5;6,8;1;9,5;2,4281178;0,7272727
4;0;0;3;1;0;0;0;0;0;50;6;1;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;10;8;1;6,070294;2,832804;0;3,2374902;0;0;2;0;;1;6,070294;6,070294;2,832804;0;3,2374902;0;2;0;1;960;158,1472;1664,895;274,26926;1;1;1;0;0;1;0;;;0;0;0;0;0;;1;1;1;4;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;uuid:ffaf1b68-e9bd-4823-8839-0e3442bf6768;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0,036750205;-0,54718584;2;42;19,6;2,5;11,6;20,7;5,1;24;0;1
7;0;0;1;4;1;0;1;0;0,4;64;7;2;0;1;2;0,5;0,4;0;0;0;0;0;0;0,05;0;0;0,05;0;4;1;10;35;1;10,117157;10,117157;0;0;0;1,6187451;3;0;;1;4,856235;4,451549;4,856235;0;0;0;2;1;0;;;;;1;0;0;1;1;1;;;;2;0;0;0;1;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:3047327e-89a9-4c8a-92ef-d078bd3e1c29;1;1;0;0;0;0;0;0;1;0;0;1;0;4;0,5994638;-0,18254745;2;43;19,6;2,5;11,6;20,7;5,1;24;5,260922;0,47999996
12;0;0;2;9;0;1;0;0;0,09090909;54;6;1;2;1;2;0,55;0,3;0,15;0;0;0;0;0;0;0;0;0;0;4;4;10;30;1;3,6421764;3,6421764;0;0;0;0;2;0;;1;2,4281175;2,4281175;2,4281175;0;0;0;1;0;1;192,00002;79,07361;332,97903;137,13464;0;1;0;1;1;1;1;332,979;137,13463;1;1;0;0;0;;1;1;1;1;1;1;1;1;3;1;2;2;2;2;2;2;3;2;3;3;2;2;2;uuid:0e527bb7-1819-4912-a8d3-c0c8722f21a3;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0,18548071;-0,4508085;2;47;11,7;0,6;5,3;12,8;2,4;16,1;1,2140589;0,6666666
